
Sync-Point 0, Time: 0.015625, Redshift: 63, Systemstep: 0, Dloga: 0, Nsync-grv:    2097152, Nsync-hyd:          0
Sync-Point 51, Time: 0.019221, Redshift: 51.0264, Systemstep: 7.79061e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 52, Time: 0.0192992, Redshift: 50.8155, Systemstep: 7.82231e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 53, Time: 0.0193778, Redshift: 50.6055, Systemstep: 7.85415e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 54, Time: 0.0194566, Redshift: 50.3963, Systemstep: 7.88611e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 55, Time: 0.0195358, Redshift: 50.188, Systemstep: 7.91821e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 56, Time: 0.0196153, Redshift: 49.9805, Systemstep: 7.95043e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 57, Time: 0.0196952, Redshift: 49.7739, Systemstep: 7.98279e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 58, Time: 0.0197753, Redshift: 49.5681, Systemstep: 8.01527e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 59, Time: 0.0198558, Redshift: 49.3632, Systemstep: 8.04789e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 60, Time: 0.0199366, Redshift: 49.159, Systemstep: 8.08064e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 61, Time: 0.0200177, Redshift: 48.9557, Systemstep: 8.11353e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 62, Time: 0.0200992, Redshift: 48.7532, Systemstep: 8.14655e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 63, Time: 0.020181, Redshift: 48.5516, Systemstep: 8.1797e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 64, Time: 0.0202631, Redshift: 48.3507, Systemstep: 8.21299e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 65, Time: 0.0203456, Redshift: 48.1507, Systemstep: 8.24642e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 66, Time: 0.0204284, Redshift: 47.9515, Systemstep: 8.27998e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 67, Time: 0.0205115, Redshift: 47.7531, Systemstep: 8.31367e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 68, Time: 0.020595, Redshift: 47.5555, Systemstep: 8.34751e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 69, Time: 0.0206788, Redshift: 47.3587, Systemstep: 8.38148e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 70, Time: 0.020763, Redshift: 47.1627, Systemstep: 8.41559e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 71, Time: 0.0208475, Redshift: 46.9675, Systemstep: 8.44984e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 72, Time: 0.0209323, Redshift: 46.773, Systemstep: 8.48423e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 73, Time: 0.0210175, Redshift: 46.5794, Systemstep: 8.51875e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 74, Time: 0.021103, Redshift: 46.3866, Systemstep: 8.55342e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 75, Time: 0.0211889, Redshift: 46.1945, Systemstep: 8.58823e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 76, Time: 0.0212751, Redshift: 46.0032, Systemstep: 8.62318e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 77, Time: 0.0213617, Redshift: 45.8127, Systemstep: 8.65828e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 78, Time: 0.0214487, Redshift: 45.623, Systemstep: 8.69351e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 79, Time: 0.0215359, Redshift: 45.434, Systemstep: 8.72889e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 80, Time: 0.0216236, Redshift: 45.2458, Systemstep: 8.76442e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 81, Time: 0.0217116, Redshift: 45.0583, Systemstep: 8.80008e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 82, Time: 0.0218, Redshift: 44.8717, Systemstep: 8.8359e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 83, Time: 0.0218887, Redshift: 44.6857, Systemstep: 8.87186e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 84, Time: 0.0219777, Redshift: 44.5006, Systemstep: 8.90796e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 85, Time: 0.0220672, Redshift: 44.3161, Systemstep: 8.94421e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 86, Time: 0.022157, Redshift: 44.1325, Systemstep: 8.98061e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 87, Time: 0.0222472, Redshift: 43.9495, Systemstep: 9.01716e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 88, Time: 0.0223377, Redshift: 43.7673, Systemstep: 9.05386e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 89, Time: 0.0224286, Redshift: 43.5859, Systemstep: 9.09071e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 90, Time: 0.0225199, Redshift: 43.4052, Systemstep: 9.1277e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 91, Time: 0.0226115, Redshift: 43.2252, Systemstep: 9.16485e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 92, Time: 0.0227036, Redshift: 43.046, Systemstep: 9.20215e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 93, Time: 0.022796, Redshift: 42.8674, Systemstep: 9.2396e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 94, Time: 0.0228887, Redshift: 42.6896, Systemstep: 9.2772e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 95, Time: 0.0229819, Redshift: 42.5125, Systemstep: 9.31495e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 96, Time: 0.0230754, Redshift: 42.3362, Systemstep: 9.35286e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 97, Time: 0.0231693, Redshift: 42.1605, Systemstep: 9.39093e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 98, Time: 0.0232636, Redshift: 41.9856, Systemstep: 9.42914e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 99, Time: 0.0233583, Redshift: 41.8114, Systemstep: 9.46752e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 100, Time: 0.0234533, Redshift: 41.6378, Systemstep: 9.50605e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 101, Time: 0.0235488, Redshift: 41.465, Systemstep: 9.54473e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 102, Time: 0.0236446, Redshift: 41.2929, Systemstep: 9.58358e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 103, Time: 0.0237409, Redshift: 41.1215, Systemstep: 9.62258e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 104, Time: 0.0238375, Redshift: 40.9508, Systemstep: 9.66174e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 105, Time: 0.0239345, Redshift: 40.7807, Systemstep: 9.70106e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 106, Time: 0.0240319, Redshift: 40.6114, Systemstep: 9.74054e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 107, Time: 0.0241297, Redshift: 40.4427, Systemstep: 9.78018e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 108, Time: 0.0242279, Redshift: 40.2747, Systemstep: 9.81998e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 109, Time: 0.0243265, Redshift: 40.1075, Systemstep: 9.85995e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 110, Time: 0.0244255, Redshift: 39.9408, Systemstep: 9.90007e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 111, Time: 0.0245249, Redshift: 39.7749, Systemstep: 9.94036e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 112, Time: 0.0246247, Redshift: 39.6096, Systemstep: 9.98082e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 113, Time: 0.0247249, Redshift: 39.445, Systemstep: 0.000100214, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 114, Time: 0.0248255, Redshift: 39.2811, Systemstep: 0.000100622, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

