Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
16264.png,0.00432115,6.68532,0.377472,1.33567e+08,-0.547849,0.996556,42.6216,1.87703,37.159,112.263,5.26966,23662.9
16955.png,0.0124737,7.14397,0.335068,3.43518e+08,-0.498435,0.995309,72.2913,2.30797,60.1483,254.086,5.34186,82572.1
05572.png,0.00024017,9.15992,0.105545,5.27551e+09,-0.296992,0.977478,844.705,3.62475,744.026,243.989,6.05866,73309.5
04270.png,0.0010288,8.29064,0.238342,1.45311e+09,-0.404942,0.991928,593.089,3.02559,540.262,225.288,5.85318,60442
03134.png,0.00160531,8.74018,0.158127,1.72846e+09,-0.359044,0.988087,359.876,3.25711,304.132,229.161,5.98628,65880.1
08341.png,0.00181178,7.60646,0.476822,2.56937e+09,-0.583809,0.998973,405.263,2.23724,380.815,194.196,5.97407,52452
14962.png,0.000152296,9.35766,0.0662842,2.92057e+09,-0.253242,0.963299,808.091,3.82612,690.901,205.652,6.01825,55201.9
00510.png,0.000862084,8.34456,0.194427,2.33759e+09,-0.407359,0.992389,297.523,2.97648,258.76,245.102,5.89747,76716.6
06064.png,0.00139625,7.76774,0.328369,1.60945e+09,-0.512203,0.997426,170.115,2.3579,152.211,219.244,5.8873,59600.8
12925.png,0.000953,8.18786,0.244843,3.17901e+09,-0.459226,0.995872,242.53,2.72305,213.105,268.436,5.98326,90063.5
14800.png,0.000196168,9.57541,0.0789642,1.55103e+10,-0.255971,0.966681,1632.5,4.06157,1458.41,245.352,6.17681,78360.7
15775.png,0.00133847,8.22841,0.223297,1.03621e+09,-0.42739,0.993798,211.702,2.84083,180.203,171.369,5.90019,43960.3
02986.png,0.00137913,7.6307,0.300537,1.38537e+09,-0.497107,0.996526,66.4132,2.27869,55.1212,248.657,5.74217,72274
06226.png,0.000972836,8.23924,0.220657,9.61708e+08,-0.416556,0.992892,223.479,2.84265,191.961,164.73,5.87429,40724.7
04532.png,0.00103388,7.70022,0.21048,3.18149e+08,-0.38671,0.986504,70.8413,2.5984,52.7806,167.33,5.44549,31878.9
11127.png,0.00109224,8.26269,0.249512,2.30677e+09,-0.432151,0.994284,363.154,2.88999,323.517,233.581,5.94012,72327.3
18164.png,0.00420111,7.16144,0.369385,4.0188e+08,-0.536061,0.997159,50.6251,2.09763,42.2231,159.054,5.54395,43501.8
02578.png,0.000679857,8.44149,0.161087,6.12348e+08,-0.259435,0.955681,390.712,3.4049,323.636,233.529,5.48062,56570.2
17357.png,0.00171505,7.96774,0.303055,1.38174e+09,-0.487582,0.996813,148.136,2.54997,126.772,187.739,5.92144,50706.2
09239.png,0.00034745,9.00685,0.111069,2.60124e+09,-0.324389,0.983244,384.672,3.40517,319.507,193.569,6.05178,53995.5
11733.png,0.00051375,8.47971,0.133621,1.03552e+09,-0.346489,0.98442,357.541,3.14095,310.239,208.267,5.79236,51552.7
13446.png,0.000458048,8.83162,0.134979,5.19706e+09,-0.355361,0.987974,378.555,3.26413,323.084,289.433,6.02706,97067.8
16706.png,0.00138017,7.66255,0.410568,3.28135e+09,-0.567483,0.998747,184.862,2.19558,169.198,227.161,5.99708,63350.6
15051.png,0.0117293,6.75617,0.515182,8.03843e+08,-0.636183,0.999013,148.066,1.86873,138.727,361.217,5.5131,151273
04749.png,0.000688543,8.64006,0.12085,5.28835e+08,-0.315802,0.978616,500.452,3.36084,434.195,139.274,5.80431,32933.3
15668.png,0.00114027,7.61823,0.27356,3.78158e+08,-0.466803,0.994826,71.4743,2.35869,58.4997,126.447,5.63982,22793.4
01069.png,0.00147648,8.45374,0.221924,1.67904e+09,-0.388806,0.990802,499.141,3.17998,441.927,240.51,5.90237,77308.2
15251.png,0.00434287,7.23065,0.385086,3.26014e+08,-0.52233,0.996757,166.134,2.31973,148.486,143.791,5.52736,36304.3
03135.png,0.000209248,8.98566,0.102982,4.72347e+09,-0.332248,0.984745,358.302,3.33002,299.286,224.085,6.06457,61265.3
05384.png,0.00076483,8.45721,0.176697,3.23705e+09,-0.414133,0.99343,205.711,2.95833,171.109,235.174,6.0092,72233.6
14584.png,0.00189157,8.02964,0.257187,8.77569e+08,-0.458538,0.995433,374.837,2.68701,342.496,192.017,5.87684,50151.1
16058.png,0.00102458,8.61045,0.189987,3.41768e+09,-0.409115,0.993491,278.679,3.04161,236.314,211.289,6.08415,64363.1
04804.png,0.00162104,8.59371,0.142059,1.9495e+09,-0.356753,0.986948,262.914,3.18016,215.532,271.676,5.88811,85829.6
06349.png,0.00106316,8.56501,0.131668,1.3982e+09,-0.341221,0.983938,333.684,3.19524,282.314,228.978,5.82737,63086.6
01215.png,0.00278995,7.70684,0.37085,1.7428e+09,-0.511691,0.997294,282.257,2.58422,253.284,279.278,5.81056,102449
07100.png,0.000809361,8.62213,0.157593,1.07073e+09,-0.360179,0.987646,631.41,3.28333,563.595,159.996,5.93579,42640.3
12978.png,0.000424914,8.59879,0.146896,9.99282e+08,-0.329946,0.981792,378.523,3.18631,324.737,184.498,5.8169,39985.2
02445.png,0.00462277,6.84318,0.505646,1.1835e+09,-0.629429,0.998995,102.763,1.88972,93.5099,296.254,5.59458,100553
15359.png,0.00063512,8.90114,0.206558,3.95622e+09,-0.340549,0.985828,721.797,3.53584,627.502,256.703,6.02569,76135.6
15373.png,0.00112832,8.14841,0.228134,9.52632e+08,-0.444698,0.994857,251.534,2.74407,222,155.812,5.91369,37537.3
16982.png,0.0191874,7.33625,0.396027,2.64613e+08,-0.549776,0.997924,185.383,2.26051,168.281,231.345,5.64137,74163.5
05921.png,0.00305009,7.54729,0.429443,2.2878e+09,-0.557881,0.998423,272.987,2.43313,247.856,267.392,5.81443,91751.7
