Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
07078.png,0.003177,7.14051,0.380234,4.51815e+08,-0.52529,0.996686,181.786,2.24213,164.879,205.911,5.49807,47468.8
09048.png,0.000647171,8.47558,0.191971,2.38226e+09,-0.408497,0.992983,399.591,2.97235,354.883,218.853,5.99987,60739
07796.png,0.00114455,8.12932,0.184616,9.08287e+08,-0.431114,0.993783,228.769,2.73927,200.634,167.796,5.85797,41727.9
11775.png,0.00117706,8.48223,0.159698,1.20419e+09,-0.362682,0.98729,518.708,3.29166,453.573,211.442,5.86486,65052.2
13239.png,0.000848203,8.43449,0.18689,2.62148e+09,-0.417962,0.99369,241.19,2.89044,206.712,203.249,6.00082,54586.2
05734.png,0.00294103,6.73122,0.376816,3.6279e+08,-0.616078,0.998663,75.4293,1.66253,70.2656,164.235,5.54434,34303.4
16586.png,0.0738516,6.46342,0.429565,3.47115e+07,-0.51534,0.99398,494.188,2.39361,464.136,133.08,4.88377,41129.2
14946.png,0.00311049,8.43269,0.209717,1.47261e+09,-0.395947,0.991532,368.28,3.12827,317.373,263.461,5.89862,88758.5
17637.png,0.000325625,8.67539,0.0959778,2.03232e+09,-0.343444,0.985049,307.553,3.1291,260.873,273.089,5.90957,83740.5
16935.png,0.00139338,7.99706,0.248138,2.38745e+09,-0.47835,0.996444,232.986,2.67077,205.843,251.822,5.93386,86423.1
19092.png,0.00287163,7.22553,0.36171,3.48975e+08,-0.484953,0.994766,231.659,2.38075,211.649,176.886,5.42278,36062.1
05686.png,0.00204335,8.25518,0.195358,1.98944e+09,-0.422463,0.993472,410.79,3.0158,364.069,276.856,5.91097,107156
00634.png,0.000532608,8.33056,0.157837,1.37823e+09,-0.40446,0.992051,302.736,2.85353,267.39,184.974,5.89776,42897.8
09396.png,0.00283285,6.79299,0.484146,8.95263e+08,-0.647127,0.999192,69.7248,1.7304,64.2669,193.437,5.6331,56912.7
12980.png,0.0012617,7.76454,0.245468,5.09453e+08,-0.466998,0.995237,205.386,2.48555,183.887,144.434,5.74931,32016.4
03582.png,0.000808747,8.21029,0.222977,3.51343e+09,-0.465588,0.99627,485.215,2.76308,444.974,253.103,6.02774,81225.1
09866.png,0.00105919,8.20196,0.220276,2.39259e+09,-0.4539,0.995596,213.46,2.68859,186.932,232.175,5.97885,74472.4
